"PCN_Code","PCN_Name","Sex","Age_group","EXTRACT_DATE","Patients","Proportion"
"U03364","Haywards Heath Villages PCN","Female","70-74 years","1st -Ju l-22",1003,0.0248304203594593
"U03364","Haywards Heath Villages PCN","Female","75-79 years","1st -Ju l-22",920,0.0227756597514482
"U03364","Haywards Heath Villages PCN","Female","80-84 years","1st -Ju l-22",557,0.0137891766103877
"U03364","Haywards Heath Villages PCN","Female","85-89 years","1st -Ju l-22",395,0.00977868000198049
"U03364","Haywards Heath Villages PCN","Female","90-94 years","1st -Ju l-22",224,0.00554537802643957
"U03364","Haywards Heath Villages PCN","Female","95+ years","1st -Ju l-22",82,0.00203000445610734
"U03364","Haywards Heath Villages PCN","Male","0-4 years","1st -Ju l-22",1244,0.0307966529682626
"U03364","Haywards Heath Villages PCN","Male","5-9 years","1st -Ju l-22",1291,0.0319601921077388
"U03364","Haywards Heath Villages PCN","Male","10-14 years","1st -Ju l-22",1325,0.0328019012724662
"U03364","Haywards Heath Villages PCN","Male","15-19 years","1st -Ju l-22",1272,0.0314898252215676
"U03364","Haywards Heath Villages PCN","Male","20-24 years","1st -Ju l-22",863,0.0213645590929346
"U03364","Haywards Heath Villages PCN","Male","25-29 years","1st -Ju l-22",972,0.0240629796504431
"U03364","Haywards Heath Villages PCN","Male","30-34 years","1st -Ju l-22",1184,0.0293112838540377
"U03364","Haywards Heath Villages PCN","Male","35-39 years","1st -Ju l-22",1298,0.032133485171065
"U03364","Haywards Heath Villages PCN","Male","40-44 years","1st -Ju l-22",1425,0.035277516462841
"U03364","Haywards Heath Villages PCN","Male","45-49 years","1st -Ju l-22",1433,0.035475565678071
"U03364","Haywards Heath Villages PCN","Male","50-54 years","1st -Ju l-22",1398,0.0346091003614398
"U03364","Haywards Heath Villages PCN","Male","55-59 years","1st -Ju l-22",1365,0.0337921473486161
"U03364","Haywards Heath Villages PCN","Male","60-64 years","1st -Ju l-22",1110,0.0274793286131604
"U03364","Haywards Heath Villages PCN","Male","65-69 years","1st -Ju l-22",921,0.022800415903352
"U03364","Haywards Heath Villages PCN","Male","70-74 years","1st -Ju l-22",861,0.0213150467891271
"U03364","Haywards Heath Villages PCN","Male","75-79 years","1st -Ju l-22",809,0.0200277268901322
"U03364","Haywards Heath Villages PCN","Male","80-84 years","1st -Ju l-22",466,0.0115363667871466
"U03364","Haywards Heath Villages PCN","Male","85-89 years","1st -Ju l-22",291,0.00720404020399069
"U03364","Haywards Heath Villages PCN","Male","90-94 years","1st -Ju l-22",97,0.00240134673466356
"U03364","Haywards Heath Villages PCN","Male","95+ years","1st -Ju l-22",35,0.000866465316631183
"U04725","Haywards Heath Central PCN","Female","0-4 years","1st -Ju l-22",877,0.0263600841599038
"U04725","Haywards Heath Central PCN","Female","5-9 years","1st -Ju l-22",1008,0.030297565374211
"U04725","Haywards Heath Central PCN","Female","10-14 years","1st -Ju l-22",1058,0.0318004207995191
"U04725","Haywards Heath Central PCN","Female","15-19 years","1st -Ju l-22",937,0.0281635106702735
"U04725","Haywards Heath Central PCN","Female","20-24 years","1st -Ju l-22",626,0.0188157499248572
"U04725","Haywards Heath Central PCN","Female","25-29 years","1st -Ju l-22",855,0.0256988277727683
"U04725","Haywards Heath Central PCN","Female","30-34 years","1st -Ju l-22",1128,0.0339044183949504
"U04725","Haywards Heath Central PCN","Female","35-39 years","1st -Ju l-22",1218,0.036609558160505
"U04725","Haywards Heath Central PCN","Female","40-44 years","1st -Ju l-22",1276,0.0383528704538623
